ID_Venta,Fecha,Cliente,Ciudad,Producto,Cantidad,Precio_Unitario,Total,Clasificación
1,2025-03-07,Jonathan Johnson,Barranquilla,Tablet,7,1196949,8378643,Alta
2,2024-09-13,Betty Moore,Cartagena,Mouse,3,546030,1638090,Normal
3,2025-04-01,Michael Roberts,Cali,Monitor,5,296209,1481045,Normal
4,2024-12-13,Brandon Mccarthy,Cartagena,Teclado,8,1629132,13033056,Alta
5,2024-05-14,Manuel Davis,Cartagena,Monitor,4,1013112,4052448,Normal
6,2024-12-15,Marie Matthews,Medellín,Monitor,7,933404,6533828,Alta
7,2024-09-14,Michelle Hammond,Cali,Teclado,7,259219,1814533,Normal
8,2024-12-20,Patrick Smith,Cali,Monitor,2,119295,238590,Normal
9,2024-08-14,Laura Young,Cali,Teclado,8,1941905,15535240,Alta
10,2024-10-20,Colleen Miller,Cartagena,Teclado,9,832172,7489548,Alta
11,2024-05-06,Alicia Parker,Barranquilla,Mouse,6,793613,4761678,Normal
12,2024-07-08,Jonathon Reynolds,Cali,Mouse,5,892270,4461350,Normal
13,2025-02-07,Kelli Rowland,Cartagena,Teclado,1,313765,313765,Normal
14,2025-02-20,Tony Williams,Medellín,Tablet,1,823040,823040,Normal
15,2024-06-18,Cristian Richardson,Barranquilla,Celular,9,1228518,11056662,Alta
16,2024-11-06,Bob Hall,Medellín,Tablet,4,600704,2402816,Normal
17,2024-10-12,Monique Perkins,Barranquilla,Teclado,1,388558,388558,Normal
18,2024-12-04,James Robinson,Cartagena,Celular,3,947589,2842767,Normal
19,2024-08-07,Cheryl Hatfield,Bogotá,Mouse,6,606212,3637272,Normal
20,2025-01-01,Larry Manning,Barranquilla,Celular,8,1178059,9424472,Alta
21,2024-10-03,Lisa Barrett DDS,Medellín,Teclado,2,606399,1212798,Normal
22,2024-07-21,Jesse Dennis,Cartagena,Mouse,8,1029017,8232136,Alta
23,2025-03-28,Jeffery Castro,Barranquilla,Celular,1,810909,810909,Normal
24,2024-05-27,Amber Smith,Bogotá,Celular,2,538018,1076036,Normal
25,2024-10-28,Dr. Tammy Atkins,Bogotá,Tablet,8,1930069,15440552,Alta
26,2025-03-12,Michelle Castaneda,Cali,Celular,7,1830387,12812709,Alta
27,2024-09-16,James Hodges,Cali,Teclado,5,403053,2015265,Normal
28,2025-01-10,Bruce Davis,Medellín,Laptop,2,1983099,3966198,Normal
29,2025-01-05,Joel Hickman,Barranquilla,Laptop,9,414533,3730797,Normal
30,2025-03-20,Dr. Bethany Smith,Barranquilla,Laptop,5,1844899,9224495,Alta
31,2024-06-05,John Harrington,Cali,Teclado,8,1367856,10942848,Alta
32,2024-12-02,Samuel Norris,Barranquilla,Laptop,4,1648452,6593808,Alta
33,2024-07-26,Larry Scott,Barranquilla,Tablet,9,1488887,13399983,Alta
34,2025-02-09,Morgan Brown,Bogotá,Teclado,7,1214085,8498595,Alta
35,2024-11-30,Brandon Thornton,Cali,Mouse,2,593417,1186834,Normal
36,2024-11-19,Daniel Walter,Cartagena,Teclado,3,1800968,5402904,Alta
37,2025-02-08,Michele Barker,Cali,Teclado,2,394435,788870,Normal
38,2025-04-06,Tiffany Burch,Cartagena,Celular,5,252889,1264445,Normal
39,2024-12-29,Nicole Brooks,Bogotá,Celular,2,439112,878224,Normal
40,2024-09-04,Danielle Thompson,Medellín,Celular,5,1757351,8786755,Alta
41,2025-02-01,Brenda Sandoval,Barranquilla,Monitor,9,1409597,12686373,Alta
42,2024-04-23,Angela Bryant,Bogotá,Tablet,2,1924341,3848682,Normal
43,2025-01-26,Matthew Clay,Barranquilla,Teclado,9,996435,8967915,Alta
44,2024-05-27,James Williams,Medellín,Teclado,7,1106176,7743232,Alta
45,2024-04-06,Andrew Smith,Medellín,Celular,7,233631,1635417,Normal
46,2024-09-21,Anthony Smith,Bogotá,Teclado,5,901176,4505880,Normal
47,2025-03-16,Patricia Edwards,Medellín,Mouse,8,1572947,12583576,Alta
48,2024-10-27,Sean Robinson,Cartagena,Teclado,7,1387482,9712374,Alta
49,2024-06-06,Kaylee Williams,Medellín,Laptop,6,907453,5444718,Alta
50,2024-04-10,Michael Nunez,Barranquilla,Mouse,2,156898,313796,Normal
51,2024-04-13,Jennifer Terrell,Barranquilla,Mouse,6,703011,4218066,Normal
52,2024-10-20,Tammy Riley,Barranquilla,Teclado,2,1854972,3709944,Normal
53,2025-02-27,Stacey Sanford,Barranquilla,Monitor,1,415320,415320,Normal
54,2025-01-13,Mrs. Barbara Harris,Cartagena,Celular,9,463582,4172238,Normal
55,2025-01-12,Veronica Andersen,Cali,Tablet,5,682687,3413435,Normal
56,2024-10-09,Melanie Martinez,Bogotá,Tablet,4,1821942,7287768,Alta
57,2024-12-15,Kerri Taylor,Barranquilla,Laptop,8,1623703,12989624,Alta
58,2024-07-01,Virginia Williams,Medellín,Tablet,5,676722,3383610,Normal
59,2024-07-01,Tammy Sims,Barranquilla,Tablet,7,1637486,11462402,Alta
60,2024-10-04,James Wells,Medellín,Celular,3,479442,1438326,Normal
61,2025-03-21,Megan English,Medellín,Celular,8,213214,1705712,Normal
62,2024-11-19,Michael Luna,Barranquilla,Monitor,8,426735,3413880,Normal
63,2025-03-14,Robert Buckley,Cartagena,Laptop,3,1807005,5421015,Alta
64,2025-01-04,Reginald Bullock,Medellín,Tablet,9,1155062,10395558,Alta
65,2024-10-18,Linda Hayes,Medellín,Monitor,8,1345037,10760296,Alta
66,2024-07-23,Patrick Gonzales,Barranquilla,Laptop,1,128800,128800,Normal
67,2024-11-13,Ashley Dougherty,Medellín,Mouse,8,977586,7820688,Alta
68,2024-05-07,Steven White,Medellín,Tablet,4,792580,3170320,Normal
69,2025-03-28,James Robinson,Barranquilla,Tablet,6,748610,4491660,Normal
70,2024-07-24,David Morris,Barranquilla,Celular,9,811614,7304526,Alta
71,2024-12-26,Erika Bryan,Bogotá,Teclado,5,374013,1870065,Normal
72,2024-11-10,Julie Smith,Cartagena,Laptop,7,1021680,7151760,Alta
73,2024-04-25,Nicholas Davis,Cartagena,Tablet,1,660742,660742,Normal
74,2024-06-21,Robert Gray,Medellín,Laptop,9,1633808,14704272,Alta
75,2024-09-08,James Everett,Cartagena,Monitor,6,1536313,9217878,Alta
76,2024-06-28,Phyllis Conner,Medellín,Monitor,4,1481493,5925972,Alta
77,2024-04-15,Melissa Matthews,Bogotá,Teclado,6,1043957,6263742,Alta
78,2025-01-24,Ryan Williams,Barranquilla,Tablet,5,1467533,7337665,Alta
79,2025-02-28,Deborah Zimmerman,Barranquilla,Celular,3,1214902,3644706,Normal
80,2025-02-05,Kristi Hill,Barranquilla,Tablet,7,1720459,12043213,Alta
81,2024-10-28,Becky Price,Cartagena,Laptop,3,1654282,4962846,Normal
82,2024-09-27,George Bautista,Bogotá,Mouse,2,1976192,3952384,Normal
83,2024-04-30,Kenneth Stewart,Cartagena,Monitor,4,545402,2181608,Normal
84,2025-01-05,Tim Martinez,Cartagena,Laptop,7,966722,6767054,Alta
85,2024-06-02,Tina Clarke,Bogotá,Teclado,5,571819,2859095,Normal
86,2025-03-23,Matthew Sullivan,Bogotá,Monitor,9,1406760,12660840,Alta
87,2024-11-25,Lori Williams,Bogotá,Celular,7,771969,5403783,Alta
